Amanida verda,5,primer,,,,
Escudella,5.5,primer,carn,gluten,,
Macarrons a la catalana,6,primer,lactics,carn,gluten,ou
Espinacs a la catalana,5.5,primer,,,,
Fabada asturiana,5.5,primer,carn,,,
Arrós a la cubana,5.5,primer,ou,,,
Canelons d’espinacs,7,segon,gluten,lactics,,
Sardines al forn,6.5,segon,peix,,,
Llibrets de llom,6.5,segon,carn,gluten,,
Bunyols de Bacallà,7,segon,peix,,,
Botifarra amb mongetes,6.5,segon,carn,,,
Hamburguesa de remolatxa ,7,segon,,,,
Macedònia de fruita,1,postre,,,,
Iogurt amb maduixes,1.5,postre,lactics,,,
Pastís de xocolata,1.5,postre,gluten,ou,,
Sorbet de mandarina,1,postre,,,,
